problem_file,avg_cost,feasible,time
STAGE1_1.json,3921.0869999999995,True,28.40183424949646
STAGE1_2.json,3625.9580000000005,True,32.55584788322449
STAGE1_3.json,3288.3050000000007,True,62.053895473480225
STAGE1_4.json,2940.8419999999996,True,63.19401741027832
STAGE1_5.json,2463.0779999999995,True,60.86599659919739
STAGE1_6.json,2419.843666666666,True,63.882567405700684
STAGE1_7.json,,False,5.498552322387695
STAGE1_8.json,3453.85,True,22.768735647201538
STAGE1_9.json,3336.317,True,61.06934475898743
STAGE1_10.json,2842.8740000000003,True,67.4380943775177
STAGE1_11.json,2764.0586666666663,True,68.61879348754883
STAGE1_12.json,2598.9829999999997,True,69.77094721794128
STAGE1_13.json,5191.67,True,62.59663796424866
STAGE1_14.json,4496.198,True,26.34181809425354
STAGE1_15.json,4511.4335,True,61.031410694122314
STAGE1_16.json,3673.1749999999993,True,60.056894063949585
STAGE1_17.json,3711.4703333333337,True,69.63611435890198
STAGE1_18.json,3741.693333333333,True,65.13307642936707
